rest_stop_id,rest_stop_name,direction,highway_route,region,latitude,longitude,traffic_group,short_description,general_hours,is_corridor_boost
RS049,이천휴게소,Tongyeong-bound,Jungbu Expressway,Gyeonggi,37.17,127.425,Regular,Central inland corridor stop,Open 24 hours,No
RS050,오창휴게소,Tongyeong-bound,Jungbu Expressway,Chungcheong,36.71,127.44,Regular,Chungcheong technology-region stop,Open 24 hours,Yes
RS051,음성휴게소,Tongyeong-bound,Jungbu Expressway,Chungcheong,36.94,127.61,Regular,Inland route rest stop,Open 24 hours,Yes
RS052,충주휴게소,Yangpyeong-bound,Jungbu Naeryuk Expressway,Chungcheong,36.97,127.85,Regular,Central inland stop,Open 24 hours,Yes
RS053,괴산휴게소,Yangpyeong-bound,Jungbu Naeryuk Expressway,Chungcheong,36.81,127.8,Regular,Mountain-region inland stop,Open 24 hours,Yes
RS054,문경휴게소,Changwon-bound,Jungbu Naeryuk Expressway,Gyeongsang,36.585,128.17,Regular,Mungyeong pass corridor stop,Open 24 hours,No
RS055,선산휴게소,Changwon-bound,Jungbu Naeryuk Expressway,Gyeongsang,36.25,128.32,Regular,North Gyeongsang inland stop,Open 24 hours,No
RS056,안동휴게소,Busan-bound,Jungang Expressway,Gyeongsang,36.53,128.71,Regular,Andong-area regional stop,Open 24 hours,No
RS057,단양팔경휴게소,Busan-bound,Jungang Expressway,Chungcheong,36.99,128.36,Regular,Scenic Danyang-branded stop,Open 24 hours,Yes
RS058,지리산휴게소,Daegu-bound,Gwangju-Daegu Expressway,Jeolla,35.41,127.58,Regular,Mountain-region rest stop,Open 24 hours,Yes
RS059,거창휴게소,Daegu-bound,Gwangju-Daegu Expressway,Gyeongsang,35.69,127.92,Regular,Gyeongsang inland travel stop,Open 24 hours,No
RS060,진영휴게소,Busan-bound,Namhae Expressway,Gyeongsang,35.305,128.72,Regular,Gimhae-area stop,Open 24 hours,No
RS061,문산휴게소,Suncheon-bound,Namhae Expressway,Gyeongsang,35.17,128.185,Regular,South coast corridor stop,Open 24 hours,No
RS062,사천휴게소,Busan-bound,Namhae Expressway,Gyeongsang,35.06,128.05,Regular,South Gyeongsang stop,Open 24 hours,No
RS063,장유휴게소,Busan-bound,Namhae Expressway,Gyeongsang,35.2,128.81,High-traffic,Busy stop near Busan/Gimhae,Open 24 hours,No
RS064,울주휴게소,Ulsan-bound,Busan-Ulsan Expressway,Gyeongsang,35.535,129.245,Regular,Ulsan-area travel stop,Open 24 hours,No
